#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B286D4
#Date Time: 2025-06-01 10:40:33.683
#Start: 1000 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Wavegen: Wavegen C1
#Amplification: 0.01 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49424 V
#Offset: -3.83299e-05 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
1000,0.09870817652517105
1010.178078950409,0.09692850244840441
1020.459751191941,0.09455732093839973
1030.846071105288,0.09351521096328866
1041.338103802716,0.09236742121460918
1051.936925237291,0.09762327031422123
1062.643622313207,0.09776551261300015
1073.45929299726,0.09635827009038772
1084.385046431436,0.09060943327664317
1095.42200304666,0.09633760409947961
1106.571294677684,0.09454114643779243
1117.83406467917,0.0986919508319819
1129.211468042934,0.09680340340415676
1140.704671516382,0.09694613404153311
1152.314853722176,0.09511903492976656
1164.043205279092,0.09736569971750617
1175.890928924109,0.0981574694311098
1187.859239635769,0.0961625113843492
1199.949364758755,0.09376358397652404
1212.162544129765,0.09527831097545103
1224.500030204646,0.09826557714210141
1236.963088186847,0.09424287992690811
1249.552996157157,0.1020520762110301
1262.271045204765,0.09813495635241178
1275.118539559674,0.09177814120540104
1288.096796726446,0.09108728352922592
1301.207147619296,0.1025626897910007
1314.450936698602,0.0903821615311127
1327.829522108759,0.09348850603273778
1341.344275817469,0.1042455802317496
1354.996583756418,0.09472230098196843
1368.787845963426,0.1068205849950149
1382.719476726005,0.07797829020975329
1396.79290472639,0.08953058825079846
1411.009573188066,0.07539429016527374
1425.37094002376,0.07331431616006388
1439.878477984941,0.1141967151276135
1454.533674812867,0.09009981259470359
1469.33803339114,0.08958110970893605
1484.293071899837,0.08747577894691765
1499.400323971179,0.0909875846355957
1514.661338846826,0.1140517151090556
1530.077681536745,0.101429035413361
1545.650932979684,0.08238449112730613
1561.382690205325,0.1145183293999268
1577.27456649804,0.08817360178498575
1593.328191562329,0.08084806668764172
1609.545211689963,0.06873694272565024
1625.927289928796,0.1028225669702696
1642.47610625332,0.09962780941256257
1659.193357736926,0.07435150912173062
1676.080758725967,0.09368187929481475
1693.140041015545,0.07321817253339345
1710.3729540271,0.104445235713777
1727.781264987832,0.1021097675981095
1745.366759111919,0.09454884038497856
1763.13123978358,0.09235509380916046
1781.076528742029,0.1179082173251125
1799.204466268286,0.09972692632215542
1817.516911373893,0.1142271258508068
1836.015741991564,0.09085798149145616
1854.702855167748,0.09596782174754387
1873.580167257198,0.09215378239129507
1892.649614119459,0.1013299235748983
1911.913151317432,0.1039635569526479
1931.372754317866,0.10210995682477
1951.030418693986,0.09642307669299613
1970.888160330103,0.1033748661832516
1990.948015628369,0.09069055198331966
2011.212041717595,0.0988496607883283
