#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B286D4
#Date Time: 2025-06-01 12:01:24.607
#Start: 1000 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Wavegen: Wavegen C1
#Amplification: 0.1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49424 V
#Offset: -3.83299e-05 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
1000,-0.1719223941968045
1010.178078950409,-0.1721339341946908
1020.459751191941,-0.1725348842185937
1030.846071105288,-0.1721783302565851
1041.338103802716,-0.1724240983110072
1051.936925237291,-0.1722091885624356
1062.643622313207,-0.172492349211676
1073.45929299726,-0.172402038819342
1084.385046431436,-0.1720822960417448
1095.42200304666,-0.1720841836375739
1106.571294677684,-0.1730183383856024
1117.83406467917,-0.1735218542168792
1129.211468042934,-0.1722304550456803
1140.704671516382,-0.1724513334550915
1152.314853722176,-0.1721717534203717
1164.043205279092,-0.1725295499294155
1175.890928924109,-0.1727216940368705
1187.859239635769,-0.1727200483592529
1199.949364758755,-0.1729314450834094
1212.162544129765,-0.1724478452113851
1224.500030204646,-0.1725039060349983
1236.963088186847,-0.1723096255764731
1249.552996157157,-0.171733488113677
1262.271045204765,-0.1720002022511016
1275.118539559674,-0.1725543619036968
1288.096796726446,-0.1724824108564474
1301.207147619296,-0.1720870348020372
1314.450936698602,-0.1718540231498626
1327.829522108759,-0.1722756720605726
1341.344275817469,-0.1730988249127693
1354.996583756418,-0.1723423861830948
1368.787845963426,-0.1735777548920485
1382.719476726005,-0.1725435533065985
1396.79290472639,-0.1729054693881703
1411.009573188066,-0.1731616454180786
1425.37094002376,-0.1715004723852204
1439.878477984941,-0.1733190596380225
1454.533674812867,-0.1766690713179226
1469.33803339114,-0.1753727202410836
1484.293071899837,-0.1749401739279262
1499.400323971179,-0.1747450040189304
1514.661338846826,-0.1727575384016837
1530.077681536745,-0.1732590568799534
1545.650932979684,-0.1682256743183477
1561.382690205325,-0.1760404346902198
1577.27456649804,-0.1786065727268318
1593.328191562329,-0.1708572196204892
1609.545211689963,-0.1763714664718825
1625.927289928796,-0.1813584169496947
1642.47610625332,-0.1724979564527983
1659.193357736926,-0.1678003633726401
1676.080758725967,-0.1734397698502988
1693.140041015545,-0.1687534346667414
1710.3729540271,-0.1725823036925193
1727.781264987832,-0.166649639812549
1745.366759111919,-0.1758722684190625
1763.13123978358,-0.1690724607992549
1781.076528742029,-0.1711625057476426
1799.204466268286,-0.1678079972304657
1817.516911373893,-0.1708980393798683
1836.015741991564,-0.1714807976684311
1854.702855167748,-0.1720158955577581
1873.580167257198,-0.171470899281724
1892.649614119459,-0.1743955469052975
1911.913151317432,-0.1713492825089786
1931.372754317866,-0.1754890515973106
1951.030418693986,-0.1733301679704263
1970.888160330103,-0.1728150049084734
1990.948015628369,-0.1734747635793158
2011.212041717595,-0.1712890329386769
2031.682316664214,-0.1722445846785198
2052.360939685372,-0.1730759830877885
2073.250031364225,-0.173306398115454
2094.351733867389,-0.1736033742151626
2115.668211164621,-0.1730082537319841
2137.201649250725,-0.1739101679607653
2158.954256369743,-0.1749674393828767
2180.928263241401,-0.1741370878411138
2203.12592328985,-0.1732022608041497
2225.549512874787,-0.1744447641833323
2248.201331524871,-0.1730160844343206
2271.08370217355,-0.1732261029257039
2294.19897139726,-0.1740131502727057
2317.549509656089,-0.1741857869249319
2341.137711536855,-0.1742275615750302
2364.965995998657,-0.174334137095553
2389.036806620963,-0.1742984517045454
2413.35261185419,-0.1744200821632158
2437.915905272817,-0.1743739789777474
2462.729205831142,-0.1753083323652619
2487.79505812157,-0.1749456478286034
2513.116032635573,-0.1747493050484851
2538.694726027277,-0.1746596750298987
2564.533761379772,-0.1741601023686958
2590.635788474085,-0.1741537460520031
2617.003484060932,-0.1747887605949681
2643.639552135202,-0.1754207726124357
2670.546724213258,-0.175150570102678
2697.72775961306,-0.1747311332181682
2725.185445737111,-0.1752447033123931
2752.922598358332,-0.176727704902557
2780.942061908791,-0.1753847255203141
2809.246709771412,-0.1763827768390804
2837.839444574645,-0.1737585073528343
2866.723198490111,-0.1742347436497276
2895.900933533315,-0.1766217113005907
2925.375641867383,-0.1757572882749701
2955.150346109913,-0.1728285928857693
2985.228099642951,-0.1756676306002208
3015.611986926097,-0.1770495891983362
3046.305123812834,-0.1737001479894586
3077.310657870039,-0.1761613489414239
3108.631768700776,-0.1772333283755237
3140.271668270365,-0.1748610733651991
3172.233601235753,-0.176904575020828
3204.520845278274,-0.1769898708084371
3237.136711439752,-0.1761207279977456
3270.084544462052,-0.1751287561713874
3303.367723130103,-0.1729011740404898
3336.989660618354,-0.1769629111462472
3370.953804840829,-0.177346771570708
3405.263638804684,-0.1769274730108834
3439.922680967396,-0.1766061559313116
3474.934485597588,-0.1749524704687731
3510.3026431395,-0.1792381521029063
3546.030780581206,-0.175512370327563
3582.122561826546,-0.1776517122209978
3618.581688070858,-0.1766382153999827
3655.411898180551,-0.1776206109483308
3692.616969076497,-0.1769792955679511
3730.200716121382,-0.1798850456466494
3768.166993510942,-0.1770894388767728
3806.519694669221,-0.1752098455970275
3845.262752647855,-0.1779426517861235
3884.400140529372,-0.1775952179407231
3923.935871834664,-0.1774586312007665
3963.874000934544,-0.1774475183690865
4004.218623465529,-0.1771361522514577
4044.973876749863,-0.1776288611795433
4086.143940219765,-0.1788346460600992
4127.733035846061,-0.1782011641298534
4169.745428571118,-0.17939203436938
4212.185426746222,-0.1784302969772023
4255.057382573412,-0.1792473894329041
4298.365692551765,-0.1790219098806528
4342.114797928291,-0.1795217894091455
4386.309185153349,-0.1794726002193391
4430.953386340744,-0.1806917809329128
4476.051979732507,-0.1805531984853999
4521.609590168359,-0.1810113602972397
4567.630889560023,-0.1806925117497346
4614.120597370297,-0.1803402608827627
4661.08348109704,-0.180609545941373
4708.524356762098,-0.1811782712877219
4756.448089405147,-0.1836815369084947
4804.85959358264,-0.1811728263476812
4853.763833871759,-0.1815113591970005
4903.165825379545,-0.1815833163790734
4953.070634257211,-0.1818018687719555
5003.483378219633,-0.1869814541595227
5054.409227070217,-0.1818411164908934
5105.853403231019,-0.1830485812333488
5157.821182278319,-0.1827904526531319
5210.317893483644,-0.1838946323753105
5263.348920360249,-0.1872459855000259
5316.919701215232,-0.1830347608900213
5371.035729707191,-0.1840758199713518
5425.702555409618,-0.1844827363407796
5480.925784380019,-0.1841233571564358
5536.711079734771,-0.1851176766106153
5593.064162229922,-0.1846602606674529
5649.990810847808,-0.1852010091734651
5707.496863389696,-0.1872785403389111
5765.5882170745,-0.1854000026688583
5824.270829143426,-0.1851001273881161
5883.550717471024,-0.1893178925336552
5943.433961182179,-0.187019969821348
6003.92670127564,-0.1859041678565543
6065.035141253693,-0.1913380509579804
6126.765547758384,-0.1872998485511013
6189.124251214114,-0.186294243843988
6252.117646476876,-0.1929406893748513
6315.752193489956,-0.1879702584712896
6380.034417946529,-0.1870360453591942
6444.970911958709,-0.1917325165705576
6510.568334733727,-0.1902571562343186
6576.83341325668,-0.1902304115476161
